title,description,image_url,author,edition,book_format,ean13,isbn,publish_date,collection,page_nb,dimensions,weight,lang
Bien connaître et comprendre mon cheval,Connaître le fonctionnement du corps et de l'esprit du cheval est fondamental pour entretenir une relation de confiance.,https://ec56229aec51f1baff1d-185c3068e22352c56024573e929788ff.ssl.cf1.rackcdn.com/attachments/large/5/5/7/005330557.jpg,Emmanuelle Brengard,Glénat Livres,Broché,9782344007792,978-2-344-00779-2,09/07/8234,Cheval Mag - Pratiques,160,25 x 19 x 1 cm,560 g,français
"Akissi, 5 : Akissi","La maman d’Akissi, qui peine à avoir un autre enfant, fait appel au grand marabout du village pour l’aider. Mais ce «gros pou» de sorcier procède d’une manière bien étrange. Il accuse Akissi, la traite de petit diable et la force à boire une affreuse mixture pour la désenvouter… Une potion qui risque bien de la faire basculer dans un monde fantasmé, en quête d’animaux qui parlent, de forêts magiques et de crottes guérisseuses !",https://ec56229aec51f1baff1d-185c3068e22352c56024573e929788ff.ssl.cf1.rackcdn.com/attachments/large/2/4/6/005386246.jpg,Marguerite Abouet,Gallimard Jeunesse,Broché,9782070658886,978-2-07-065888-6,09/07/8207,Bandes dessinées hors collection,48,26 x 20 x 1 cm,390 g,français
Comment regarder le dessin,"Contour, trait, ombre, lumière  : des empreintes de mains dans les grottes préhistoriques aux réalisations effectuées sur un ordinateur, cet ouvrage nous initie à l’univers complexe du dessin.",https://ec56229aec51f1baff1d-185c3068e22352c56024573e929788ff.ssl.cf1.rackcdn.com/attachments/large/0/8/1/005348081.jpg,Marco Bussagli,Hazan,Broché,9782754114585,978-2-7541-1458-5,09/07/8201,Guide Hazan,336,20 x 13 x 2 cm,640 g,français
Tromboline : Les Epinards,"Une nouvelle aventure de Tromboline et Foulbazar, les poussins qui ont toujours une bonne idée en tête. Dans la même série: La fenêtre; La Voiture; Le A; Le Bébé Bonbon; Le Cauchemar; Le Nuage; Les Masques; La Boîte; Le Petit Frère, Le Non; Le Chien et le Chat.",https://ec56229aec51f1baff1d-185c3068e22352c56024573e929788ff.ssl.cf1.rackcdn.com/attachments/large/7/8/3/004747783.jpg,Claude Ponti,École des Loisirs,Broché,9782211014588,978-2-211-01458-8,11/07/2199,Les lutins,24,15 x 19 x 0 cm,72 g,
Hinomaru Sumo - Tome 14,"Dans la demi-finale du grand tournoi national par équipes, Oseki du lycée Ôdachi affronte Enoki, du lycée Hakurô. Pour ces deux lutteurs qui partagent un même respect pour leur modèle, les capacités techniques, mentales et physiques vont se révéler décisives…",https://ec56229aec51f1baff1d-185c3068e22352c56024573e929788ff.ssl.cf1.rackcdn.com/attachments/large/4/6/9/006070469.jpg,Kawada,Glénat Manga,Broché,9782344029121,978-2-344-02912-1,08/02/5201,Shônen,192,18 x 11 cm,140 g,français
